Name,ECLP time,ECLP nodes,ECLP cost,ALL time,ALL nodes,ALL cost,GOOD RF time,GOOD RF nodes,GOOD RF cost,GOOD NN time,GOOD NN nodes,GOOD NN cost,RAND70 time,RAND70 nodes,RAND70 cost,RAND50 time,RAND50 nodes,RAND50 cost
morphed20-2-10_maxregret,11.166854508,13269,284,8.289906793,5957,284,7.26212184,6043,284,7.866335004,6466,284,10.773258456,9401,284,10.317929162,8642,284
morphed20-2-11_maxregret,320.962506938,412624,328,207.058041908,156497,328,189.754139306,159883,328,188.651048346,158097,328,313.583158707,296848,328,275.570622268,253886,328
morphed20-2-12_maxregret,42.069591579,47279,304,35.190345035,23010,304,34.014734258,24540,304,33.008384244,23390,304,41.598757237,34596,304,46.974038866,34714,304
morphed20-2-13_maxregret,22.605096884,27999,297,26.841417536,21053,297,24.339679553,21324,297,26.556282941,22406,297,25.77362033,24221,297,25.717135015,23253,297
morphed20-2-14_maxregret,59.974235872,64078,301,44.010079168,29512,301,39.553520264,29699,301,41.627651956,30454,301,64.466626639,51307,301,51.757353619,39485,301
morphed20-2-15_maxregret,7.229518289,8230,324,5.131563659,3550,324,4.784548527,3771,324,5.107032499,3768,324,7.421328824,6301,324,6.369234339,5213,324
morphed20-2-16_maxregret,7.68609153,7245,308,7.198714349,4509,308,6.422607233,4547,308,6.578732374,4568,308,8.018530446,5773,308,9.085606219,6132,308
morphed20-2-1_maxregret,2.89854168,2969,276,4.039282207,2890,276,3.695278331,3011,276,3.848114681,2899,276,5.020604144,4323,276,4.559760321,3937,276
morphed20-2-2_maxregret,0.65305075,473,245,0.902098663,418,245,0.786985337,418,245,0.849638021,429,245,0.833805951,469,245,0.860824542,472,245
morphed20-2-3_maxregret,3.835676986,4205,305,4.124798411,2786,305,3.991008338,2990,305,4.036942814,2893,305,4.087746395,3256,305,4.728946707,3604,305
morphed20-2-4_maxregret,5.108985408,6653,341,4.763917432,3422,341,4.14177528,3402,341,4.185354798,3434,341,4.680036349,4546,341,7.014277846,6606,341
morphed20-2-5_maxregret,1.803820458,1542,328,2.616952294,1487,328,2.333131481,1505,328,2.402916056,1493,328,2.191242701,1373,328,2.5554289,1645,328
morphed20-2-6_maxregret,98.741163941,126838,329,78.903277923,63000,329,72.753619135,63779,329,74.695241587,65015,329,108.836203458,110626,329,98.607758822,89038,329
morphed20-2-7_maxregret,54.604746189,60344,314,43.220322164,30102,314,41.320045573,31574,314,44.729515986,33264,314,55.898428453,45527,314,53.205559609,40803,314
morphed20-2-8_maxregret,0.238703544,62,286,0.298992964,54,286,0.291513386,54,286,0.292048908,54,286,0.291029851,58,286,0.29450485,57,286
morphed20-2-9_maxregret,40.95848203,44445,361,28.660758074,19451,361,26.764758359,20035,361,27.304866626,19715,361,43.08722813,34650,361,41.268507478,31675,361
morphed21-5-10_maxregret,32.718400974,31337,329,28.540837717,17659,329,26.236972356,18052,329,27.220148015,17774,329,34.954800871,25709,329,32.499527796,23281,329
morphed21-5-11_maxregret,5.064430763,4926,337,5.947848095,3779,337,5.628950696,3948,337,5.519867613,3905,337,6.365612988,4690,337,6.276721575,4415,337
morphed21-5-12_maxregret,30.344422799,28021,336,31.219837793,18163,336,31.091886263,20226,336,31.296091567,20293,336,36.81806709,25398,336,37.070941846,24275,336
morphed21-5-13_maxregret,5.123109016,3527,363,8.207920031,3804,363,6.588198375,3317,363,6.551315164,3318,363,7.70019265,4084,363,8.216471689,4120,363
morphed21-5-14_maxregret,22.400717221,23644,355,25.124096953,16612,355,23.283048367,16979,355,23.338525938,17155,355,25.015638046,19423,355,27.12525624,20077,355
morphed21-5-15_maxregret,8.62224255,8559,354,8.099988607,4845,354,7.327148219,5006,354,7.405960861,4999,354,10.666856717,7924,354,8.268746037,5360,354
morphed21-5-16_maxregret,94.348685643,98514,374,58.905562823,36873,374,60.302030964,41488,374,61.787340365,41068,374,92.249971785,72797,374,102.826547832,73947,374
morphed21-5-1_maxregret,1.546777208,1552,321,1.747515249,1190,321,1.625470257,1231,321,1.607737549,1216,321,1.864398508,1503,321,1.932103106,1445,321
morphed21-5-2_maxregret,1.376258996,978,300,1.681504592,794,300,1.625118444,867,300,1.657523047,867,300,1.712929423,940,300,1.773445804,926,300
morphed21-5-3_maxregret,42.873992978,45380,359,34.4754743,22060,359,30.957723354,22634,359,31.600611427,22523,359,43.650580734,34682,359,40.82510109,28517,359
morphed21-5-4_maxregret,5.169456333,4692,317,5.388630454,3114,317,4.916853489,3226,317,4.981244635,3169,317,6.269306487,4343,317,5.380513857,3501,317
morphed21-5-5_maxregret,1.951118216,1820,341,3.147136773,2187,341,2.090654158,1434,341,2.122376591,1452,341,2.223731755,1455,341,1.988808652,1255,341
morphed21-5-6_maxregret,4.446833373,4236,352,4.946307647,3061,352,4.36207206,3104,352,4.394600697,3142,352,5.039537699,3726,352,5.279866922,3673,352
morphed21-5-7_maxregret,10.064132488,9306,390,10.601346372,6063,390,9.370946141,6440,390,9.075596445,6300,390,12.073631233,8270,390,11.194283467,7157,390
morphed21-5-8_maxregret,13.826715082,14029,354,15.95354089,10177,354,13.865963123,10396,354,14.122128318,10363,354,15.460895595,12248,354,15.273604582,10789,354
morphed21-5-9_maxregret,0.286467082,115,378,0.350445567,87,378,0.340503004,87,378,0.333269624,90,378,0.352489288,113,378,0.369721571,99,378
morphed22-2-10_maxregret,47.788483599,44581,277,47.915359533,27134,277,45.728494486,28842,277,43.690664756,27607,277,53.886686236,37231,277,58.114263716,37802,277
morphed22-2-11_maxregret,5.505247202,5374,242,5.509232225,3334,242,4.787395285,3351,242,4.778880045,3383,242,6.835734099,4969,242,6.871827226,4720,242
morphed22-2-12_maxregret,3600,4597641,_17203944,161.044753417,115884,325,156.039770645,126478,325,152.086406561,116873,325,375.049524922,353604,325,329.735316671,286882,325
morphed22-2-13_maxregret,8.155656151,7139,287,16.352737082,10050,287,15.505296203,11051,287,15.764130019,11011,287,9.87340875,6452,287,15.481888047,10779,287
morphed22-2-14_maxregret,238.027497017,255070,333,239.508890344,157609,333,219.817715254,158590,333,215.014785028,157873,333,282.820707324,228659,333,262.335988511,194348,333
morphed22-2-15_maxregret,1487.856157652,1759597,385,654.668286676,449024,385,597.615920211,463008,385,604.221757887,453540,385,1080.150313365,940945,385,1152.091590149,932473,385
morphed22-2-16_maxregret,11.376284737,8365,277,15.429416366,7458,277,13.454133152,7496,277,13.461865573,7310,277,14.426753851,8089,277,15.051352619,7898,277
morphed22-2-1_maxregret,126.04829328,175671,320,213.385838012,173195,320,191.034051014,174510,320,191.654150472,172986,320,141.646739332,138749,320,144.742901063,135933,320
morphed22-2-2_maxregret,0.281395451,105,290,0.29066884,34,290,0.285059508,34,290,0.322153953,34,290,0.283257478,35,290,0.318577188,34,290
morphed22-2-3_maxregret,74.427422458,78000,301,72.325384554,49183,301,71.222014641,55383,301,72.637291134,55486,301,84.90820664,67240,301,83.249493537,63636,301
morphed22-2-4_maxregret,233.947358301,223700,368,229.513744263,135792,368,205.83684698,137265,368,210.274361231,140051,368,262.730011407,192746,368,246.609802501,168044,368
morphed22-2-5_maxregret,1.347878527,1475,335,1.198488064,804,335,1.150255624,804,335,1.114125176,781,335,1.155293107,867,335,1.682635737,1361,335
morphed22-2-6_maxregret,21.047264096,22382,361,21.846503888,13999,361,19.674699949,14435,361,20.027892984,14570,361,25.42683976,19991,361,23.433769864,17000,361
morphed22-2-7_maxregret,0.255763243,62,303,0.32810236,56,303,0.320892365,57,303,0.346338777,56,303,0.31727898,47,303,0.392543605,103,303
morphed22-2-8_maxregret,2.845867058,2896,294,2.316869499,1595,294,2.076048199,1542,294,2.054503984,1555,294,3.015370476,2138,294,3.450359039,2328,294
